Model,Dataset,UseWindowScalar,Epoch,TimeStepNum,LookAheadNum,NetworkType,Features,BatchSize,RMSE,MAPE,R2,TrainingLoss,ValidationLoss
SavedModels/0,Datasets/BTC-2021-minute.csv,False,35,80,1,GRU,Close-,5000,72.04,0.12,1.0,0.0003916381683666259,1.6440126273664646e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,36,80,1,GRU,Close-,5000,90.09,0.16,1.0,0.00037997044273652136,3.1366631446871907e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,37,80,1,GRU,Close-,5000,61.13,0.1,1.0,0.0003631195577327162,8.604157301306259e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,38,80,1,GRU,Close-,5000,62.86,0.1,1.0,0.00035157741513103247,1.0137514436792117e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,39,80,1,GRU,Close-,5000,57.75,0.09,1.0,0.00033993134275078773,6.58889166516019e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,40,80,1,GRU,Close-,5000,57.79,0.09,1.0,0.0003281112003605813,6.698463948850986e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,41,80,1,GRU,Close-,5000,70.77,0.12,1.0,0.000319035432767123,1.621574665477965e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,42,80,1,GRU,Close-,5000,55.97,0.09,1.0,0.0003078493755310774,5.587377472693333e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,43,80,1,GRU,Close-,5000,53.86,0.09,1.0,0.00030168876401148736,4.216110937704798e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,44,80,1,GRU,Close-,5000,60.78,0.1,1.0,0.0002932703646365553,8.362301741726696e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,45,80,1,GRU,Close-,5000,56.73,0.09,1.0,0.00028442160692065954,5.766232334281085e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,46,80,1,GRU,Close-,5000,75.02,0.13,1.0,0.00028114067390561104,1.8815977455233224e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,47,80,1,GRU,Close-,5000,54.37,0.09,1.0,0.00027519368450157344,4.702596470451681e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,48,80,1,GRU,Close-,5000,84.91,0.15,1.0,0.00026840640930458903,2.831172605510801e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,49,80,1,GRU,Close-,5000,62.69,0.11,1.0,0.0002648393565323204,8.822899872029666e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,50,80,1,GRU,Close-,5000,80.59,0.14,1.0,0.00026190944481641054,2.493948704795912e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,1,80,1,LSTM,Close-,5000,154.1,0.3,0.999,0.016205372288823128,4.6378481783904135e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,2,80,1,LSTM,Close-,5000,112.85,0.21,0.999,0.001713707111775875,1.830372457334306e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,3,80,1,LSTM,Close-,5000,87.6,0.14,1.0,0.0013889356050640345,9.006391337607056e-06
SavedModels/1,Datasets/BTC-2021-minute.csv,False,4,80,1,LSTM,Close-,5000,138.48,0.25,0.999,0.0012149278772994876,7.082267984515056e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,5,80,1,LSTM,Close-,5000,138.74,0.26,0.999,0.0011293587740510702,6.839579873485491e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,6,80,1,LSTM,Close-,5000,99.73,0.17,1.0,0.0010578095680102706,2.0568266336340457e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,7,80,1,LSTM,Close-,5000,107.29,0.19,0.999,0.0010141337988898158,2.8160033252788708e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,8,80,1,LSTM,Close-,5000,117.53,0.21,0.999,0.000979830976575613,4.015559170511551e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,9,80,1,LSTM,Close-,5000,113.84,0.2,0.999,0.0009591723792254925,3.594363442971371e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,10,80,1,LSTM,Close-,5000,88.23,0.14,1.0,0.0009359772666357458,1.030554631142877e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,11,80,1,LSTM,Close-,5000,104.75,0.18,0.999,0.0009078736766241491,2.651355134730693e-05
SavedModels/1,Datasets/BTC-2021-minute.csv,False,12,80,1,LSTM,Close-,5000,104.55,0.18,0.999,0.0008881290559656918,2.65053276962135e-05
